operation,kind,module_key,jacobian,joint_output_dim,per_block_output_dim,n_blocks_using_operation,parameter_count,local_input_dim,jacobian_shape,rank_1e-5,rank_1e-6,rank_1e-7,rank_1e-8,rank_1e-10,singular_value_max,singular_value_min_effective_1e_8,condition_estimate_1e_8
edge:H-H,edge,"(0, 0, 0)",parameter_jacobian,25,25,1,9472,288,"[25, 9472]",17,17,17,17,17,0.6117769255995409,0.1039617481583824,5.8846348434572135
edge:H-H,edge,"(0, 0, 0)",input_jacobian,25,25,1,9472,288,"[25, 288]",25,25,25,25,25,4.4523078501774815,0.3703537548344986,12.021770515509155
edge:H-H,edge,"(0, 0, 0)",combined_parameter_input_jacobian,25,25,1,9472,288,"[25, 9760]",25,25,25,25,25,4.481377638161933,0.37035375483449856,12.100262464368814
edge:H-O,edge,"(0, 1, 1)",parameter_jacobian,130,65,2,17920,576,"[130, 17920]",80,80,80,80,80,4.541205158637133,0.00223995393087139,2027.3654274981036
edge:H-O,edge,"(0, 1, 1)",input_jacobian,130,65,2,17920,576,"[130, 576]",130,130,130,130,130,4.192857941863942,0.20247317863169703,20.708214145691063
edge:H-O,edge,"(0, 1, 1)",combined_parameter_input_jacobian,130,65,2,17920,576,"[130, 18496]",130,130,130,130,130,5.93332490870447,0.2024731786316971,29.30425130282224
node:H,node,0,parameter_jacobian,30,15,2,86592,1280,"[30, 86592]",22,22,22,22,22,2.052525284455312,0.0027175016776484324,755.2986264322926
node:H,node,0,input_jacobian,30,15,2,86592,1280,"[30, 1280]",30,30,30,30,30,3.1376110623404556,1.0928898644448,2.870930698890136
node:H,node,0,combined_parameter_input_jacobian,30,15,2,86592,1280,"[30, 87872]",30,30,30,30,30,3.630509607493454,1.0928898644448004,3.321935471821574
node:O,node,1,parameter_jacobian,91,91,1,257248,640,"[91, 257248]",55,55,55,55,55,5.426930373346265,0.013641276745490323,397.8315574559659
node:O,node,1,input_jacobian,91,91,1,257248,640,"[91, 640]",91,91,91,91,91,6.3512257018345295,0.030738822109638197,206.61903306448085
node:O,node,1,combined_parameter_input_jacobian,91,91,1,257248,640,"[91, 257888]",91,91,91,91,91,8.34305927243884,0.03073882210963796,271.4176633926037
