operation,kind,module_key,jacobian,joint_output_dim,per_block_output_dim,n_blocks_using_operation,parameter_count,local_input_dim,jacobian_shape,rank_1e-5,rank_1e-6,rank_1e-7,rank_1e-8,rank_1e-10,singular_value_max,singular_value_min_effective_1e_8,condition_estimate_1e_8
edge:H-H,edge,"(0, 0, 0)",parameter_jacobian,25,25,1,592,72,"[25, 592]",17,17,17,17,17,5.321121153318227,0.5024893550974808,10.589520154682583
edge:H-H,edge,"(0, 0, 0)",input_jacobian,25,25,1,592,72,"[25, 72]",25,25,25,25,25,4.4368487716559,0.5660403227368443,7.8383970071309195
edge:H-H,edge,"(0, 0, 0)",combined_parameter_input_jacobian,25,25,1,592,72,"[25, 664]",25,25,25,25,25,6.244065347289628,0.566040322736844,11.031131699415232
edge:H-O,edge,"(0, 1, 1)",parameter_jacobian,130,65,2,1120,144,"[130, 1120]",80,80,80,80,80,10.43644054240254,0.010993436008512028,949.3338146801221
edge:H-O,edge,"(0, 1, 1)",input_jacobian,130,65,2,1120,144,"[130, 144]",128,128,128,128,128,7.718478462177804,0.027440012720143382,281.28552784932793
edge:H-O,edge,"(0, 1, 1)",combined_parameter_input_jacobian,130,65,2,1120,144,"[130, 1264]",128,128,128,128,128,11.337172566065737,0.027440012720143247,413.16207400091
node:H,node,0,parameter_jacobian,30,15,2,88736,2112,"[30, 88736]",22,22,22,22,22,1.7930535332631266,0.06528719453915001,27.464092245346936
node:H,node,0,input_jacobian,30,15,2,88736,2112,"[30, 2112]",30,30,30,30,30,4.025392803141944,0.8603895136024832,4.678570274860131
node:H,node,0,combined_parameter_input_jacobian,30,15,2,88736,2112,"[30, 90848]",30,30,30,30,30,4.317341664451799,0.8603895136024834,5.017892008440371
node:O,node,1,parameter_jacobian,91,91,1,320528,1056,"[91, 320528]",55,55,55,55,55,3.424413924962428,0.04607892667750212,74.31626932044809
node:O,node,1,input_jacobian,91,91,1,320528,1056,"[91, 1056]",91,91,91,91,91,8.18988951129931,0.27500263700067423,29.781130830680834
node:O,node,1,combined_parameter_input_jacobian,91,91,1,320528,1056,"[91, 321584]",91,91,91,91,91,8.86379009593191,0.2750026370006741,32.23165491285882
