output_name,parameter_group,output_dim,parameter_count,jacobian_shape,rank_1e-5,rank_1e-6,rank_1e-7,rank_1e-8,rank_1e-10,singular_value_max,singular_value_min_effective_1e_8,condition_estimate_1e_8,exact,storage_dtype
label_space,readout,374,524048,"[374, 524048]",174,174,176,225,252,25.153832647959504,1.0313818221533112e-08,2438847777.5809083,True,float64
label_space,readout_blocks,374,413200,"[374, 413200]",174,174,175,226,253,10.436440592991834,1.0017072487419066e-08,1041865336.0150357,True,float64
label_space,edge_preprocessing,374,110848,"[374, 110848]",97,97,97,103,116,24.13295078020298,1.0311907708025274e-08,2340299337.76671,True,float64
label_space,mace,374,214753,"[374, 214753]",174,175,192,216,239,143.640147892504,1.0614737207569381e-08,13532143573.943031,True,float64
label_space,all_trainable,374,738801,"[374, 738801]",174,175,192,225,242,143.88738671042185,1.0181231424870455e-08,14132611341.977491,True,float64
coefficient_space,readout,276,524048,"[276, 524048]",174,174,176,194,199,25.173283071386546,1.1201809593838125e-08,2247251469.551297,True,float64
coefficient_space,readout_blocks,276,413200,"[276, 413200]",174,174,178,194,206,10.436440854146769,1.0152869581202238e-08,1027930160.1066122,True,float64
coefficient_space,edge_preprocessing,276,110848,"[276, 110848]",97,97,97,106,114,24.155504017211232,1.0071309698113677e-08,2398447147.5180116,True,float64
coefficient_space,mace,276,214753,"[276, 214753]",174,174,178,191,211,143.64037221236646,1.0410899793938585e-08,13797114087.679193,True,float64
coefficient_space,all_trainable,276,738801,"[276, 738801]",174,174,178,196,209,143.8877016666448,1.123866101481839e-08,12802922116.516026,True,float64
