output_name,parameter_group,output_dim,parameter_count,jacobian_shape,rank_1e-5,rank_1e-6,rank_1e-7,rank_1e-8,rank_1e-10,singular_value_max,singular_value_min_effective_1e_8,condition_estimate_1e_8,exact,storage_dtype
label_space,readout,374,511904,"[374, 511904]",174,174,176,230,250,38.21555145008133,1.0041337134266035e-08,3805822963.5245357,True,float64
label_space,readout_blocks,374,406816,"[374, 406816]",174,174,174,235,255,5.426930557126156,1.0016054368439952e-08,541823192.7959698,True,float64
label_space,edge_preprocessing,374,105088,"[374, 105088]",97,97,98,106,118,38.007634025298465,1.234080470811472e-08,3079834332.059924,True,float64
label_space,mace,374,184065,"[374, 184065]",174,175,191,215,238,113.43447359333659,1.0750997988726606e-08,10551064534.872288,True,float64
label_space,all_trainable,374,695969,"[374, 695969]",174,175,193,219,238,114.38511195095374,1.0556377169174684e-08,10835640875.447857,True,float64
coefficient_space,readout,276,511904,"[276, 511904]",174,174,177,189,203,38.21555334141308,1.0536712127723509e-08,3626895456.3979034,True,float64
coefficient_space,readout_blocks,276,406816,"[276, 406816]",174,174,174,190,205,5.426930225282008,1.005210880435951e-08,539879773.5782961,True,float64
coefficient_space,edge_preprocessing,276,105088,"[276, 105088]",97,97,99,104,115,38.007635948090986,1.1651133628795422e-08,3262140591.5520763,True,float64
coefficient_space,mace,276,184065,"[276, 184065]",174,174,178,190,209,113.43615537650244,1.0875600509844236e-08,10430334883.46908,True,float64
coefficient_space,all_trainable,276,695969,"[276, 695969]",174,174,177,190,208,114.38678471497265,1.2275862967684169e-08,9318023915.393349,True,float64
